//Index   Message
99        "You do not have permission to use /track"
100       "Invalid target for /track"
101       "You do not have permission to use /trace"
102       "Invalid target for /trace"
103       "You do not have permission to use /disconnect"
104       "Invalid target for /disconnect"
105       "You do not have permission to use /fireworks"
106       "You do not have permission to use /make"
107       "Item created successfully"
108       "You do not have permission to use /skin"
109       "Invalid target for /skin"
110       "You do not have permission to use /setmoney"
111       "Invalid target for /setmoney"
112       "You entered an invalid value for /setmoney"
113       "You do not have permission to use /notice"
114       "Auto add points: On (%d)"
115       "Auto add points: Off"
116       "Auto reset mode has been enabled"
117       "Auto reset mode has been disabled"
118       "You do not meet the requirements to Relife"
119       "You cannot Relife at this time"
120       "You still need %d more level(s) to Relife"
121       "You still need %d more reset(s) to Relife"
122       "You need %d zen to use Relife"
123       "You cannot Relife beyond level %d "
124       "You cannot Relife because you are missing a required item"
125       "Relife successful, you have Relifed %d time(s)."
126       "Requests as received: Connected"
127       "Requests received: Off"
128       "Requests as received: Automatic"
129       "You can only reset %d time(s) per day"
130       "You can only reset %d time(s) per week"
131       "You can only reset %d time(s) per month"
132       "You can only Relife %d time(s) per day"
133       "You can only Relife %d time(s) per week"
134       "You can only Relife %d time(s) per month"
135       "You do not have permission to use /hide"
144       "Devil Square event will close in %d minute(s)"
145       "Devil Square event has closed"
146       "Devil Square event %d starts in %d minute(s)"
147       "Devil Square event has started"
148       "Devil Square event has ended"
149       "You are not strong enough to join Devil Square"
160			"Duel character is not online"
161			"Duel you cannot challenge at this time"
162			"Duel the character automatically declined your challenge request"
163			"Duel challenge request sent to opponent"
164			"Duel the character has requested a duel"
165			"Duel you cannot challenge while in a Guild War"
166			"Duel this character cannot duel during a Guild War"
167			"Duel you cannot challenge on this map"
168			"Duel you cannot duel during Castle Siege"
169			"Duel no character with that name exists"
170			"Duel you are currently in combat"
171			"Duel this character is currently in combat"
172			"Duel the character declined your request"
173			"Duel all arenas are full"
174			"Duel %s vs %s has started!"
175			"Duel %s defeated %s in the arena!"
176       "White Dragon Hall will close in %d minute(s)"
177       "White Dragon Hall has closed"
178       "White Dragon Hall %d starts in %d second(s)"
179       "White Dragon Hall has started"
180       "White Dragon Hall has ended"
181       "You are not strong enough to join White Dragon Hall"
182       "You do not have a ticket to join White Dragon Hall"
183       "%s dropped Dragon Pearl"
184       "%s picked up Dragon Pearl"
185       "Boss Cultists has respawned"
186       "Boss Cultists has ended"
187       "Boss Drowned has respawned"
188       "Boss Drowned has ended"
189       "Brigid has appeared at Atlans"
190       "Brigid event has ended"
191       "Red Dragon event has started"
192       "Red Dragon event has ended"
193       "%s defeated the Red Dragon"
194       "Dragonlord Plasidusax event has ended"
195       "Boss Fallen has appeared"
196       "Fallen event has ended"
197       "Royal Treasure Chest event has started!"
198       "Boss Agares event has ended"
199       "Class Legion event has ended"
200       "Class Legion is rampaging through Lorencia"
201       "Kundun has respawned at Kalima 7"
202       "Kundun Kalima 7 event has ended"
203       "Boss Ghoul has appeared"
204       "Boss Ghoul event has ended!"
205       "Brigid event has started!"
206       "Brigid event has ended!"
153       "You do not have a high enough level to reset"
207       "%s defeated Boss Agares and received many rare items"
208       "Merchant Moss has appeared!"
209       "[God of Fortune] Event has Started!"
210       "[God of Fortune] Event has Withdrawn!"
154       "[Summer] Event has Started!"
155       "[Summer] Event has Withdrawn!"
156       "[Gold Boss] Event has Started!"
157       "[Gold Boss] Event has Withdrawn!"
158       "[Jade Rabbit] Event has Started!"
159       "[Jade Rabbit] Event has Withdrawn!"
211       "Eggs Event has started!"

212		"%s defeated Wild Life"
213		"%s opened a casino in Lorencia :))"

214		"%s defeated Akadus"
215		"%s killed Gold Kundun"
216		"%s defeated Fallen"
217		"%s defeated Boss Agares"
218		"%s beat Kundun to death"
219		"%s knocked out Boss Ghoul"
220		"%s defeated Brilliant Lugh"
221		"%s defeated Wukong"
222		"%s killed Brigid"
223		"%s defeated Dragonlord Plasidusax"




224       "You need level %d to move"
225       "You need %d zen to move"
226       "You cannot move at this time"
227       "Assassins can not move"
228       "You do not have correct equipment to move"
229       "Only Gens members can move"
230       "You need max level %d to move"
231       "you need %d resets to move"
232       "you need max %d resets to move"
240       "Senior is not active"
241       "Senior is not active during Castle Siege"
242       "You must be in the Guild that owns the Castle to use Senior"
243       "You must be the Guild Master to use Senior"
244       "Guardsman does not work during Castle Siege"
245       "You have joined the guild"
246       "You do not meet the requirements to create a GUILD"

247       "Shop is empty"
248       "Account: Regular"
249       "Account: VIP 3 Days - Expires:(%s)"
250       "Account: VIP 6 Days - Expires:(%s)"
251       "Account: VIP 12 Days - Expires:(%s)"
252		  "Account: Clone - Expires:(%s)"
256       ""
257       "You need level 40 to throw this item"
258       "You need level 80 to throw this item"
259       "You cannot move to another map at this time"
260       "This item does not belong to you"
261       "You cannot leave the game while trading"
262       "You cannot leave the game while opening the warehouse"
263       "You cannot leave the game while using the Chaos Machine"
264       "You cannot leave the game while training a PET"
265       "You cannot leave the game while in combat"
266       "You have reached the maximum level"
267       "You have reached the maximum Master level"
268       "You can only add %d point(s)"
269       "You cannot chat for %d second(s)."
270       "You cannot talk to yourself"
271       "Hello, I am the cheerful guard"
272       "Instant teleport is not possible"
273       "You will be teleported in %d second(s)"
274       "You cannot move to this map while riding a pet"
275       "You need to wear wings to move to this map"
276       "CashShop Gift"

277  	  "%s defeated Boss Baby Gold Dragon"
278  	  "%s defeated Boss Gold Robot"
279  	  "%s defeated Boss Gold Warrior"
280  	  "%s defeated Boss Gold Imp"
281  	  "%s defeated Boss Gold Iron King"
282  	  "%s defeated Boss Gold Fish King"
283  	  "%s defeated Boss Gold Fish Spirit"
284  	  "%s defeated Boss Gold Robo"
285  	  "%s defeated Boss Gold Archer King"
286  	  "%s defeated Boss Golden Armor Knight"
287  	  "%s defeated Boss Golden Armor Demon"
288  	  "%s defeated Boss Golden Armor Stone Devil"
289  	  "%s defeated Boss Golden Armor Soldier"
290  	  "%s defeated Boss Golden Wood Armor"
291  	  "%s defeated Boss Golden Red Devil"
292  	  "%s defeated Boss Golden Warrior"
293  	  "%s defeated Boss Golden Flame"
294  	  "%s defeated Boss Golden Dragon"
295  	  "%s defeated Boss Brilliant Lugh"

296  	  "%s defeated Boss Class DK"
297  	  "%s defeated Boss Class DW"
298  	  "%s defeated Boss Class ELF"
299  	  "%s defeated Boss Class MG"
300	 	  "%s defeated Boss Class DL"
301	 	  "%s defeated Boss Class SUM"
302	 	  "%s defeated Boss Class RF"

304       "Ice Walker has appeared!"
305       "you are not strong enough to join Double Goer"
306       "Ice Walker has been destroyed!"
320       "Jupiter has appeared! Gate of Hatchery will close in %d minute(s)"
321       "Hatchery gate has closed"
322       "%s defeated Boss Enok the Spider Queen"
323       "Gate of Hatchery will reopen in %d minute(s)"
324       ""
325       "Hatchery gate has closed"
336       "Refinement Tower will close in 60 minute(s)"
337       "Refinement Tower will close in 20 minute(s)"
338       "Kanturu gate has opened"
339       "The battle with Maya is about to begin, get ready"
340       "The battle will continue in 1 minute"
341       "Nightmare has appeared! Defeat it to open the Refinement Tower gate"
342       "Nightmare has been defeated! Refinement Tower gate has opened"
343       "Time is up, you will be teleported out of the Event"
352       "Castle Deep will start in 5 minutes"
353       "Castle Deep has started"
354       "Castle Deep has ended"
355       "Brilliant Lugh was defeated by %s"
356       "%s was defeated by %s"
368       "Balgass has joined forces with Kundun's fleet and is preparing to attack Crywolf fortress"
369       "Balgass's warriors are ready to attack Crywolf fortress"
370       "A Balgass Navy is marching toward a Crywolf fortress"
371       "Balgass's fleet is approaching the Crywolf fortress"
372       "No Elf is connected to the altars, leaving the wolf statue unprotected"
373       "Balgass will stay alive until the battle ends"
374       "Defense failed! The sacred wolf statue has been captured by Balgass"
375       "Defense successful! The sacred wolf statue has been protected"
376       "Wolf Altar connection time will start in %d second(s)"
377       "Wolf Altar connection time will start in %d minute(s)"
378       "Balgass Armada will attack in %d second(s)"
379       "Balgass Armada will attack in %d minute(s)"
380       "With no Elf protection, the sacred wolf statue was left unprotected"
381       "Balgass is coming! Protect the sacred wolf statue"
382       "Balgass Armada has begun attacking the Sacred Wolf Statue"
383       "Balgass's fleet has been defeated with the help of the heroes"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass was killed by %s!"
387       "Balgass has been killed!"
388       "Dark Elf %d was killed by %s!"
389       "MvP Point: %d"
390       "Connected to Altar %d"
391 "%s connected to altar %d"
392 "Altar %d has been connected"
393 "Connection time for walker %d has not started"
394 "Altar %d has been connected more than 2 times"
395 "Wrong position to connect to altar %d"
396 "%s is trying to connect to altar %d"
397 "You will be connected to the altar in 5 seconds"
398 "Do not move until the connection is complete"
399 "Connection to altar %d has been cancelled"
400 "The barrier of the sacred wolf statue has disappeared"
401 "Connection count: %d, Statue lifespan: %d"
402 "The barrier of the sacred wolf statue has been created"
403 "Connecting requires an Elf of level 260 or higher"
416 "Castle Siege has ended"
417 "Castle Siege registration period has started"
418 "Castle Siege Emblem registration period has started"
419 "Castle Siege Guild selection period has started"
420 "Castle Siege Guild selection has been completed"
421 "Castle Siege preparation time has started"
422 "Castle Siege will start in %d minute(s)"
423 "Castle Siege has started, bring victory home"
424 "Guild %s successfully defended the Castle"
425 "Guild %s has become the owner of the Castle"
426 "The owner of the Castle has not yet been determined"
427 "Statue Guardian Only"
432 "Member %s has been promoted to Deputy Master"
433 "Member %s has been promoted to Battle Leader"
434 "%s stepped down from their current position to become a regular Guild member"
435 "Guild %s's type has been changed to %d"
436 "The Guild has joined the alliance with %s"
437 "The Guild is now the enemy of Guild %s"
438 "Guild %s has joined the alliance with %s"
439 "The Guild has withdrawn from the guild"
440 "Guild %s has withdrawn from the alliance with %s"
441 "The Guild is no longer allied with %s"
442 "The Guild is no longer the enemy of Guild %s"
443 "The alliance with %s has been broken"
448 "You cannot summon a Life Stone outside of Castle Siege"
449 "Only the attacking alliance can summon a Life Stone"
450 "A Life Stone has been summoned"
451 "You cannot summon a Life Stone inside the Dragon Tower"
452 "Life Stone has been summoned successfully"
453 "Life Stone was not summoned"
464 "You cannot summon soldiers outside of Castle Siege"
465 "Only the defending alliance can summon soldiers"
466 "Only the Guild Master and their assistants can summon soldiers"
467 "Maximum number of soldiers exceeded"
468 "Soldiers summoned successfully"
469 "Soldiers were not summoned"
480 "Server has closed"
481 "Server will automatically close in %d second(s)"
482 "This is a duplicate entry, please contact an administrator"
483 "Your chat lock has ended"
484 "You will be disconnected from the game in %d second(s)"
485 "Self-defense against %s has started"
486 "Self-defense against %s has ended"
487 "Server will automatically shut down in 1 minute"
488 "Server will automatically shut down in 3 minutes"
489 "Server will automatically shut down in 5 minutes"
490 "The match will automatically start in 10 seconds"
491 "%s earned %d precious gem(s)"
492 "%s killed Fenix"
493 "You earned %d Event points and %d Gold"
494 "%s killed a golden one"
495 "You earned %d Event points and %d Gold"
496 "%s killed Boss Brilliant Lugh"
497 "You earned %d Event points and %d Gold"
498       ""
499 "Remove Errtels before placing"
500 "MU King event has started"
501 "MU King event has ended"
502 "MU King starts in %d minute(s)"
503 "MU King Guild %s has captured the castle!"
504 "MU King starts in %d second(s)"
505 " "
506 "You are not a member of a guild!"
507 "Your guild already owns a castle!"
508 "You are not at the correct coordinates!"
509 "Your guild must have at least %d member(s)!"
510 "Please Character! Your guild currently owns a castle!"
511 "MU King ends in %d minute(s)!"
512 "Your Inventory is Full"
513 "All items in the personal warehouse have been removed."
514 "Have a nice day, everyone."
515 "%s killed %s"
516 "%s killed %s"
517 " "
518 "You do not have permission to use /setvip"
519 "Vip added successfully!"
520 "This account does not exist!"
521 "%s You no longer need my help"
522 "%s Your vip package does not allow the use of this buff"
523 "%s Zen required: %d"
524 "%s PCPoints required: %d"
525 "%s You must be in the Vanert family"
526 "%s You must be in the Duprian family"
527 "%s You must be in the Duprian family"
528 "%s You need to be in the Vanert family"
529 "%s Family points required: %d"
530 "%s Time: %d Minute(s)"
531 "%s Removed %d Zen"
532 "%s Removed %d PCPoint(s)"
533 "%s Buff Applied!"
538 "You are missing the materials for Cultivation"
539	"You have attained enlightenment. Go down the mountain and save people"
548	"Lucky Spin You are missing %d WCoinC %d WCoinP %d GPCoin"
565	"%s liquidated items, received %d WcoinC."
583 "Boss Nangari has respawned"
602 "You cannot marry yourself 0,0!"
603 "You have just married %s!"
604 "You are already married!"
605 "That character is already married!"
606 "Usage: /marry to 'name' | /marry divorce | /marry track or trace!"
607 "You cannot divorce within the first week of marriage!"
608 "You have just divorced!"
609 "You are not married yet!"
610 "You are now tracking!"
611 "You are now tracing!"
612 "%s just married %s!"
613 "%s just divorced %s!"
614 "Character Marriage System"
615 "between %s and %s!"
616 "The Marriage System does not allow same-sex marriage"
617 "You need at least level %d to use this command!"
618 "He/She needs at least level %d to use this command!"
619 "The Marriage System has been disabled!"
620 "You need at least %d zen to use this command!"
621 "You need to stand in the correct position in Devias2!"
622 "Your target needs to stand in the correct position in Devias2!"
623 "Info: Minimum level: %d | Track & trace cost: %d zen!"
624 "You cannot divorce while he/she is disconnected!"
625 "That character is disconnected!"
626 "Skin %d applied to %d character(s)!"
627 "Character %s is not online!"
628 " "
629	"%s Spin the Gem, received %s !"
630 "You need to be level %d to use this command!"
631 "Only allowed to use inside the city!"
632 "You and your opponent must be level %d to duel!"
633 "This command is not enabled for your account!"
634 "Command: /class dw, dk, elf, mg, dl, su"
635 "You must choose a class different from your own!"
636 "Attention: you must put all items into the warehouse when changing class"
637 "Class is not available!"
638 "Reset required: %d!"
639 "%s is now online!"
640 "%s has joined!"
641 "You do not have permission to use this!"
642 "Character not found!"
643 "Command: /reward TYPE VALUE"
644 "This award type is not available!"
645 "The reward is larger than the allowed limit!"
646 "Reward added successfully!"
647 "You cannot reward yourself!"
648 "Command: /reload type | Ex: /reload common"
649 "Reload completed successfully!"
650 "Command: /type reward value"
651 "Name must be at least 4 characters or at most 10 characters."
652 "That name already exists."
653 "Wait %d second(s) to use again."
654 "That name already exists!"
655 "Name changed successfully!"
656 "Name unchanged!"
657 "Character %s has been renamed to %s!"
658 "You must leave the guild to change your name."
659 "You cannot use this command right now."
660 "SPEEDY Started at %s!"
661 "SPEEDY Event ends in %d minute(s)!"
662 "SPEEDY Event ends in %d second(s)!"
663 "SPEEDY Winner %s!"
664 "SPEEDY Event Over - No Winner!"
665 "SPEEDY Follow the coordinates x %d y %d"
666 "SPEEDY Event Over - Event has been cancelled!"
667 "Ban error!"
668 "Account banned successfully!"
669 "Character banned successfully!"
670 "Event Closing in %d second(s)"
671 "Event Attendance Time has ended!"
672 "Event Cancelled!"
673 "Event %s has started an Event!"
674 "Event Type /Join to participate!"
675 "Event Participant %s has been added!"
676 "Find GM Ends in %d second(s)"
677 "Find GM ended with no winner!"
678 "Find GM Cancelled!"
679 "Find GM %s has started the Event!"
680 "Find GM Find the GM and trade!"
681 "Find GM %s has won the Event!"
682 "Find GM Event ends in %d minute(s)!"
683 "PEGAPEGA It has closed!"
684 "PEGAPEGA Event has started. It has been declined!"
685 "PEGAPEGA Time's up!"
686 "PEGAPEGA Cancelled!"
687 "PEGAPEGA Opened!"
688 "PEGAPEGA Type /join to participate!"
689 "PEGAPEGA Participant %s has been added!"
690 "PEGAPEGA %s has won this Event!"
691 "PEGAPEGA %s has been caught!"
692 "Quest %d You must be level %d or higher!"
693 "Quest %d You must have %d Reset(s) or more!"
694 "Quest %d You must have %d Master Reset(s) or more!"
695 "Quest %d You must have %d zen or more!"
696 "Quest %d You must visit %s (x %d, y %d)!"
697 "Quest %d You do not have the required vip plan!"
698 "Quest %d Required item: %s!"
699 "Quest %d You must kill %d %s (Missing: %d)!"
700 "Quest Congratulations character, you have completed all quests!"
701 "Quest %d Completed! You have won: %d WC, %d WP, %d GP!"
702 "Congratulations character, you have received a gift!"
703 "You have received all of your gifts!"
704 "Live or Die has closed!"
705 "Live or Die event has started!"
706 "Live or Die Time's up!"
707 "Live or Die Cancelled!"
708 "Live or Die Opened (Max attendees: %d)!"
709 "Live or Die Type /join"
710 "Live or Die Participant %d: %s has been added!"
711 "Live or Die %s has won the Event!"
712 "Live or Die Loading the bullet into the cylinder ...!"
713 "Live or Die Spinning the cylinder ...!"
714 "Live or Die Cocking ...!"
715 "Live or Die FIRE!"
716 "Live or Die HeadShot %s has been eliminated!"
717 "Live or Die %s survived unscathed!"
718 "King of MU Reward !!!!"
719 "MU King Guild %s has won this Event!"
720 "King of MU Owner's time: %d minute(s)!"
721 "MU King All online guild members have won:"
722 "MU King 10 WC each !!!"
723 "MU King Character with the most achieved:"
724 "MU King %d °: %s (Guild: %s)!"
725 "MU King wins 10 restrooms each time!"
726 "MU King No winner!"
730 "%d WC has been added to your account!"
731 "You received %d Honor Points"
732 "%d GP has been added to your account!"
733 "Command: /top type class | Ex: /top rr dk"
734 "Command: Class: dk, dw, fe, mg, dl, su"
735 "No results!"
736 "%d ° Placed: %s ( %d)"
737 "Character points reset successfully."
738 "%s has reached rank %s!"
739 "You have reached rank %s!"
740 "Hello"
741 "You must have 64 pieces of the same type in the warehouse"
742 "Thank you, I have picked up the items and delivered your reward."
743 "Sorry, I am not interested in these items."
744 "You have exchanged your items for a reward!"
745 "%s Starts in %d minute(s)!"
746 "%s Question: (Use /answer to reply)"
747 "%s %s"
748 "%s %s has won the Event!"
749 "%s No winner!"
750 "%s Wrong answer!"
751 "%s Reply: %s"
752 "PickUp %s Enabled!"
753 "PickUp %s Disabled!"
754 "PickUp Disabled!"
755 "You have successfully reset your master points."
756 "Level 400 or higher is required to use /resetmaster."
757 "You do not have enough Wcoin to use this feature!"
758 "Congratulations, you have subscribed to %s!"
759 "The VIP package you selected is below your current package"
760 "%d WC has been taken from your account!"
761 "Purchase Successful! %d Honor Points"
762 "%d GP has been taken from your account!"
763 "You cannot use custom attack while MuHelper is enabled!"
764 "You cannot use MuHelper with custom attack active!"
765 "Cannot be used above level: %d"
766 "Usage value: %d WC!"
767 "Usage value: %d WP!"
768 "Usage value: %d GP!"
769 "The alliance team has won the Event!"
770 "The Phantom team has won this Event!"
771 "OffPvp On"
772 "OffPvp Off"
773 "Lock On - Items locked!"
774 "Lock Password must contain up to 8 characters!"
775 "Lock Has been enabled, use /unlock to unlock!"
776 "Lock Off!"
777 "Lock Invalid password!"
778 "Lock Action blocked by password!"
779 "You can only activate this command in a safe zone"
780 "Personal shop is empty or items have no price"
781 "ATTENTION !! All items in this shop are sold for Jewel of Bless"
782 "ATTENTION !! All items in this shop are sold for Jewel of Soul"
783 "ATTENTION !! All items in this shop are sold for Jewel of Chaos"
784 "ATTENTION !! All items in this shop are sold for WCoinC"
785 "ATTENTION !! All items in this shop are sold for WCoinP"
786 "ATTENTION !! All items in this shop are sold for Goblin Points"
787 "You need to open a Personal Shop first"
788 "Command will be executed in %d minute(s)"
789 "Shop usage time has expired"
790 "Attack Off"
791 "Attack You cannot use this position"
792 "Attack You do not have the required Skill to use"
793 "Attack Usage time: %d minute(s)"
794 "Attack Time's up"
795 "Attack Enabled"
796 "OffAttack You must enable /attack first"
797 "OffAttack You cannot use this position"
798 "This guild does not exist!"
799 "PvP Time's up!"
800 "PvP Cancelled!"
801 "PvP %s x %s has started!"
802 "PvP %s %d x %d %s!"
803 "PvP %s has won the Event!"
804 "PvP has started!"
805 "MataMata Closed!"
806 "MataMata Event has started!"
807 "MataMata Time's up!"
808 "MataMata Cancelled!"
809 "MataMata Opened (Max attendees: %d)!"
810 "MataMata Type /join!"
811 "MataMata Character %d: %s has been added!"
812 "MataMata 1st - %s ( %d points)!"
813 "MataMata 2nd - - %s ( %d points)!"
814 "MataMata 3rd - %s ( %d points)!"
815 "MataMata Your position: %dth ( %d points)!"
816 "MataMata Score: %d points!"
817 "New name contains text that is not allowed!"
818 "Required: %d overall reset(s)."
819 "Not allowed with %d master or higher"
820       "Command: /package (soul, blessing, etc.) (10,20,30)"
821       "Command: /unpackage (soul, blessing, etc.) (10,20,30)"
822 "You do not have the required item(s)."
823 "Command completed successfully."
824 "You do not have space in the warehouse."
825 "TvTEvent will close in %d minute(s)"
826 "Enter the team vs team Event"
827 "TvTEvent has closed!"
828 "TvTEvent starts in %d minute(s)"
829 "TvTEvent has started!"
830 "TvTEvent has ended!"
831 "TvTEvent You cannot participate!"
832 "TvTEvent Not open!"
833 "TvTEvent You do not have the required item to enter!"
834 "Purchase Failed! Please check again"
835 "Not allowed while trading!"
836 "Discount of %d Zen when using command!"
837 "Usage value: %d WC, %d WP, %d GP!"
838 "Enter the command again to confirm the request."
839 "Another guild member already has a chest open!"
840 "You are not allowed to use the Guild Chest!"
841 "%s has banned character %s for %d day(s)!"
842 "%s has banned account %s for %d day(s)!"
843 "AntiHack SpeedHack detected!"
844 	"Trade Required value: %d Zen!"
845 	"Trade Required value: %d WC!"
846 	"Trade Required value: %d WP!"
847 	"Trade Required value: %d GP!"
848 	"Trade %s has no required value!"
849 	"Quest %d Requires %d Cash to complete!"
850 	"Quest %d Requires %d Gold to complete!"
851 	"Quest %d Requires %d PcPoint to complete!"
852 	"Quest %d No more stock available to receive your reward!"
853 	"Quest %d Buff is active, complete the quest afterwards!"
854 	"Kill %d monster(s) to complete the quest!"
855 	"Quest completed!"
856	 	"Quest %d You do not have the required license!"
857 	"Quest %d Requires %d Kill(s) to continue!"
858 	"Beginner's room! Leaving in %d second(s)"
859 	"You cannot access this room! Leaving in %d second(s)"
860       "Quest Congratulations character, you have completed this quest!"
861       "The party is limited by a %d level difference"
862      "BLUE EVENT the white rabbit legion has retreated!"
863	     "SUMMER EVENT Has Ended !"
864	"%s reset for the %d time"
865	"%s Rolled Number %d"
866	"%s Rolled Even"
867	"%s Rolled Odd"
868	"%s Rolled %d | Even"
869	"%s Rolled %d | Odd"
870	"You currently have %d Wcoin(C), you need %d Wcoin(C) to Open the Bowl"
871	"You currently have %d Wcoin(P), you need %d Wcoin(P) to Open the Bowl"
872	"You currently have %d Goblin Points, you need %d Goblin Points to Open the Bowl"
873	"Deducted %d Wcoin(C)"
874	"Deducted %d Wcoin(P)"
875	"Deducted %d Goblin Points"
876	""
877	""

878 "You have reached the maximum Cultivation level"
879 "You need (%d) Wcoin (C) to raise Cultivation"
880 "%s raised Cultivation successfully %d"

881 "You have reached the maximum Military Rank"
882 "You need (%d) Wcoin (C) to raise Military Rank"
883 "%s raised Military Rank to %d"

884 "You have reached the maximum Title level"
885 "You need (%d) Wcoin (C) to raise Title"
886 "%s raised Title successfully %d"

887	"You have reached GHRS %d/%d time(s)"

888	"GHRS today: %d time(s)"

889	"%s failed to craft Wing Level 1"
890	"%s failed to craft Wing Level 2"
891	"%s failed to craft Wing Level 3"
892	 ""
893	 "%s failed to craft Strange Bird"
894	 "%s failed to upgrade Pet"
895	 "%s failed to craft Broken Horn"
896	 "%s failed to craft Wolf Spirit"
897	 "%s failed to craft Golden Wolf"
898	 ""
899	 ""
900  "%s upgraded successfully %s  + %d"
901  "Player %s failed to upgrade %s"
902  "%s upgraded successfully %s"
903  "%s combination failed!!"
904	 "[Ancient Battlefield] Action too fast, please wait"
905	 "[Ancient Battlefield] You may only purchase %d more (time(s)/day)"
906	 "[Ancient Battlefield] Not enough %d WCoinC"
907	 "[Ancient Battlefield] Purchase time"
908	 "[Ancient Battlefield] Added %d minute(s)"

909  ""

910	 "%s Defeated Boss SR! Received a Premium Gift"
911	 "%s defeated the Giant Crab holding a Treasure, received 5,000wc"
912	 "%s broke open the Royal Treasure Chest, received Wcoin and many valuable items"
913	 "You Received: %d %d %d Treasure Wcoin"
914	 "The Treasure Character Event has started! Many Treasures are hidden across the Atlantic sea region"
915  ""
916  ""
917  "2 Boss Agares have appeared randomly across the Swamp map"
918  ""
919  ""
920  ""

921	"You have reached today's reset limit"
922	"Today's reset limit has increased to %d"
923 "Today's maximum reset limit is %d"
924  ""
925	 ""
926	 ""
927	 ""

928     "Name is incorrect or the player is offline for the Duel!"
929     "The in-game Duel feature is Off, please contact Admin"
930     "There is already another Duel Bet in progress, please wait for it to finish!"
931     "You have %d Wcoin(C) < Duel limit %d Wcoin(C)"
932     "Bet amount %d Wcoin(C) < Duel limit %d Wcoin(C)"
933     "Your balance %d Wcoin(C) < Your duel bet %d Wcoin(C)"
934     "%s Sent a duel bet challenge of %d Wcoin(C), Do you accept?!"
935     "There is already another Duel Bet in progress, please wait a moment!"
936     "Your balance %d Wcoin(C) < Your duel bet %d Wcoin(C)"
937     "Find a duel bet opponent and duel at Vulcanus!"
938     "EXC item selling is currently disabled! Please contact the Fanpage or call ADMIN now. Thank you"
939     "Duel bet between %s and %s, Bet %d Wcoin(C) Starting"
940     "Player %s defeated %s in the Duel Bet and received %d WcoinC"
941     "Your balance %d Wcoin(P) < Your duel bet %d Wcoin(P)"
942     "Your balance %d GoblinPoint < Your duel bet %d GoblinPoint"
943     "Your balance %d Wcoin(P) < Your duel bet %d Wcoin(P)"
944     "Your balance %d GoblinPoint < Your duel bet %d GoblinPoint"
945     "You have %d Wcoin(P) < Duel limit %d Wcoin(P)"
946     "Bet amount %d Wcoin(P) < Duel limit %d Wcoin(P)"
947     "You have %d GoblinPoint < Duel limit %d GoblinPoint"
948     "Bet amount %d GoblinPoint < Duel limit %d GoblinPoint"
949     "Your balance %d Wcoin(P) < Your duel bet %d Wcoin(P)"
